StnID,Lat,Lon,Elev,State/Province,Name,UTC_Offset,POR_Date_Range_P,PCT_POR_Good_P,Num_Years_P,POR_Date_Range_T,Num_Years_T,PCT_POR_Good_T,overlap_years
USC00463361,38.6649,-80.7672,258.5,WV,GASSAWAY,-5,19510401-20190730,87.9,68,19180401-20240504,107.0,64.6,69
USC00240554,48.6715,-106.4808,903.1,MT,BAYLOR,-7,19480701-20240411,93.5,76,19410718-20160229,76.0,11.2,69
USC00335747,40.0875,-82.4128,254.5,OH,NEWARK WATER WORKS,-5,19561101-20240402,83.2,68,19341101-20240430,91.0,99.2,69
USC00351765,45.2408,-120.179,878.1,OR,CONDON,-8,19490101-20170406,91.4,68,18940723-20180131,125.0,84.3,69
USC00415770,35.236,-100.5923,802.2,TX,MC LEAN,-6,19401001-20211024,87.2,81,19070101-20081231,102.0,43.9,69
USC00042012,36.0975,-119.5817,61.0,CA,CORCORAN IRRIGATION DIST.,-8,19560119-20240325,86.7,68,19480701-20240502,77.0,96.6,69
USC00093028,31.5663,-84.7338,89.6,GA,EDISON,-5,19480601-20200908,91.1,72,19400322-20150627,76.0,6.5,68
USC00297638,35.9331,-104.1375,1750.5,NM,ROY,-7,19471101-20170405,87.9,70,19051001-20141222,110.0,69.2,68
USC00094204,31.8878,-82.5808,76.2,GA,HAZLEHURST,-5,19480601-20160303,93.2,68,19180714-20151201,98.0,38.1,68
USC00122309,38.4558,-86.6983,210.3,IN,DUBOIS SRN IN FORAGE FARM,-5,19570101-20240401,80.5,67,19550101-20240430,70.0,96.7,68
USC00308586,42.9464,-74.2886,91.4,NY,TRIBES HILL,-5,19480501-20240326,79.5,76,19040501-20150831,112.0,0.0,68
USC00265846,36.5501,-114.4582,394.4,NV,OVERTON,-8,19480801-20150803,57.9,67,19390501-20240502,86.0,67.8,68
USC00157677,36.6736,-84.4791,371.9,KY,STEARNS 2S,-5,19480801-20150504,76.3,67,19360501-20240326,89.0,52.7,68
USC00236012,39.0172,-92.7558,195.4,MO,NEW FRANKLIN 1W,-6,19570801-20240417,78.7,67,19560401-20240504,69.0,95.5,68
USC00451400,47.9967,-119.6482,254.2,WA,CHIEF JOSEPH DAM,-8,19501101-20170912,85.5,67,19491001-20201031,72.0,96.6,68
USC00151227,37.5531,-87.1924,121.3,KY,CALHOUN 4ENE,-6,19561001-20230601,80.5,67,19561001-20240504,69.0,24.6,68
USC00114317,39.11,-87.6657,147.2,IL,HUTSONVILLE,-6,19570724-20240406,88.3,67,19460503-20240503,79.0,5.5,68
USW00014824,45.7438,-87.0406,180.1,MI,ESCANABA,-5,19480801-20150622,73.7,67,18710525-20240504,154.0,80.4,68
USC00341684,35.7062,-96.8801,292.0,OK,CHANDLER,-6,19530611-20200612,92.0,67,19010807-20201128,120.0,84.5,68
USC00145536,37.188,-95.4503,242.0,KS,MOUND VALLEY 3 WSW,-6,19571004-20240401,95.8,67,19511101-20240503,74.0,97.6,68
USC00417140,28.6575,-96.5553,6.1,TX,POINT COMFORT,-6,19571101-20240409,93.5,67,19571101-20240504,68.0,88.7,68
USC00221852,31.6419,-89.5572,88.4,MS,COLLINS,-6,19480601-20151001,91.4,67,19121201-20170131,106.0,67.9,68
USC00233079,38.8484,-91.942,234.7,MO,FULTON,-6,19480801-20240415,92.4,76,18930201-20151222,123.0,89.3,68
USC00449151,37.3017,-76.7039,21.3,VA,WILLIAMSBURG 2 N,-5,19480801-20151001,87.5,67,19480801-20240504,77.0,95.3,68
USC00228445,33.4311,-90.9108,38.7,MS,STONEVILLE EXP STA,-6,19480601-20150729,90.2,67,19140701-20240110,111.0,80.3,68
USC00224966,31.148,-88.6566,35.1,MS,LEAKESVILLE 6 WSW,-6,19570225-20240412,93.7,67,18940101-20240503,131.0,45.3,68
USC00340292,34.1773,-97.1617,256.3,OK,ARDMORE,-6,19570401-20240403,46.6,67,19010101-20240503,124.0,82.0,68
USC00018673,32.7747,-87.8306,33.5,AL,WARRIOR LOCK AND DAM,-6,19571204-20240403,84.2,67,19580201-20240504,67.0,2.4,67
USW00013957,32.4473,-93.8244,69.5,LA,SHREVEPORT AP,-6,19471001-20131231,88.3,66,19390701-20240505,86.0,100.0,67
USC00085076,28.8728,-81.7844,20.7,FL,LISBON,-5,19581209-20240331,94.4,66,19581201-20240504,67.0,96.7,67
