StnID,dpt_wmo_id,distance_km,elevation_diff_m,Lat,Lon,Elev,State/Province,Name,UTC_Offset,POR_Date_Range,PCT_POR_Good,Num_Year_Overlap,Num_Valid_Years,PCT_Good_Overlap_1h,Num_Year_Overlap_1h,PCT_Good_Overlap_24h,Num_Year_Overlap_24h,KG
USC00137602,725480-94910,23.176764272813404,20.399999999999977,42.7042,-92.5906,284.4,IA,SHELL ROCK 1 SW,-6,19480801-20240302, 93.3%,67.0,67.0,87.4,67.0,89.7,67.0,Dfa
USC00138315,725480-94910,40.85225632911854,21.0,42.1865,-92.4722,285.0,IA,TRAER,-6,19480801-20240401, 95.3%,67.0,67.0,87.8,67.0,89.7,67.0,Dfa
USC00418081,722516-12928,33.12779659014347,1.4000000000000004,27.2169,-97.6955,11.6,TX,SARITA 7 E,-6,19410901-20190501, 86.0%,67.0,67.0,87.8,67.0,88.8,67.0,BSh
USC00389327,723100-13883,47.94735354379187,93.5,34.3706,-81.0825,161.5,SC,WINNSBORO,-5,19480701-20240304, 71.8%,68.0,67.0,100.0,67.0,100.0,67.0,Cfa
USC00200230,725370-94847,28.501014865067884,56.80000000000001,42.2981,-83.6639,247.8,MI,ANN ARBOR U OF MICH,-5,19480701-20240401, 94.9%,67.0,67.0,87.8,67.0,89.7,67.0,Dfa
USC00364778,725115-14711,30.2417693153394,14.700000000000005,40.119,-76.4265,109.7,PA,LANDISVILLE 2 NW,-5,19520401-20231019, 86.6%,67.0,67.0,90.4,67.0,90.3,65.0,Dfa
USC00331592,724285-13812,22.301438443698395,20.30000000000001,39.6104,-82.9555,205.7,OH,CIRCLEVILLE,-5,19480801-20240410, 83.5%,68.0,67.0,92.3,67.0,94.5,67.0,Dfa
USC00232568,724467-13930,45.57546928521117,5.899999999999977,38.868,-94.0352,259.1,MO,ELM,-6,19560801-20240201, 85.4%,67.0,67.0,96.5,67.0,97.6,66.0,Dfa
USC00126864,725335-99999,14.262580428106451,45.80000000000001,40.7646,-86.074,201.2,IN,PERU,-5,19480701-20240401, 85.4%,67.0,67.0,85.6,67.0,85.3,67.0,Dfa
USC00208246,726387-14850,4.480986543672876,0.9000000000000057,44.7686,-85.5763,184.1,MI,TRAVERSE CITY,-5,19580411-20240401, 93.7%,67.0,67.0,99.5,67.0,99.5,67.0,Dfb
USC00341750,723530-13967,46.68351301161749,58.30000000000001,35.0488,-97.9158,330.7,OK,CHICKASHA EXP STATION,-6,19580328-20240401, 91.7%,67.0,67.0,100.0,67.0,100.0,67.0,Cfa
USC00330059,725240-14820,35.91556052775541,7.400000000000006,41.1573,-81.5664,228.6,OH,AKRON WPCS,-5,19570301-20240401, 90.8%,67.0,67.0,99.5,67.0,99.6,67.0,Dfa
USC00087886,722110-12842,21.68310276946738,9.7,27.7833,-82.6333,10.7,FL,ST PETERSBURG,-5,19460201-20150102, 91.1%,68.0,67.0,96.6,67.0,96.2,67.0,Cfa
USC00047902,723925-23190,14.277639810754057,2.9000000000000004,34.4167,-119.6844,4.9,CA,SANTA BARBARA,-8,19480701-20240402, 91.4%,67.0,67.0,89.8,68.0,89.6,66.0,Csb
USC00319476,723066-13713,39.37198834740711,0.5,35.6939,-77.9461,33.5,NC,WILSON 3 SW,-5,19400801-20240415, 82.6%,67.0,67.0,83.5,67.0,87.7,66.0,Cfa
USC00151631,724350-03816,45.620751386997405,2.0999999999999943,36.6833,-89.0,121.9,KY,CLINTON,-6,19480801-20220817, 88.4%,66.0,66.0,87.1,66.0,88.6,66.0,Cfa
USC00417140,722550-12912,42.908328977318526,26.9,28.6575,-96.5553,6.1,TX,POINT COMFORT,-6,19571101-20240409, 93.5%,66.0,66.0,94.5,66.0,95.8,66.0,Cfa
USC00206300,725390-14836,43.812133135464485,38.5,43.0161,-84.18,222.5,MI,OWOSSO WWTP,-5,19550831-20240401, 85.7%,66.0,66.0,94.4,65.0,95.6,65.0,Dfa
USC00337698,724290-93815,44.4667044732112,11.899999999999975,40.2983,-84.1633,313.9,OH,SIDNEY HIWAY DEPT,-5,19480801-20161101, 78.4%,66.0,66.0,100.0,66.0,100.0,66.0,Dfa
USC00356238,726835-24230,32.5989832503688,8.200000000000045,44.2994,-120.7264,931.8,OR,OCHOCO DAM,-8,19481001-20130201, 84.5%,66.0,66.0,99.5,65.0,99.8,65.0,BSk
USC00413285,722595-13911,16.421275598748103,11.300000000000011,32.8342,-97.2981,196.3,TX,FT WORTH WSFO,-6,19480501-20240325, 79.5%,66.0,66.0,99.3,66.0,99.1,65.0,Cfa
USC00344978,723530-13967,13.34537778150777,1.8999999999999773,35.4879,-97.6645,387.1,OK,LAKE OVERHOLSER,-6,19520301-20160628, 91.2%,65.0,65.0,100.0,65.0,100.0,65.0,Cfa
USC00385946,722080-13880,39.50730553323866,3.9,33.2425,-79.9869,14.9,SC,MONCKS CORNER 4 N,-5,19480601-20181127, 78.8%,66.0,65.0,100.0,65.0,100.0,65.0,Cfa
USC00244983,726776-24036,0.5763054868804459,7.299999999999954,47.0512,-109.4426,1249.7,MT,LEWISTOWN 2 SW,-7,19531001-20240408, 78.0%,65.0,65.0,99.0,65.0,98.8,63.0,Dfb
USC00334979,724280-14821,40.704968075999496,49.69999999999999,40.1938,-83.2675,295.7,OH,MARYSVILLE,-5,19600526-20240422, 86.0%,65.0,65.0,100.0,65.0,100.0,65.0,Dfa
USC00238712,724467-13930,23.25844569499941,22.40000000000001,38.7841,-93.8008,242.6,MO,WARRENSBURG 4NW,-6,19530324-20240401, 76.3%,67.0,65.0,94.1,67.0,96.7,67.0,Dfa
USC00396170,726686-24025,12.882803890711216,19.100000000000023,44.4419,-100.4171,506.9,SD,OAHE DAM,-6,19600801-20240401, 92.4%,65.0,65.0,100.0,65.0,100.0,63.0,BSk
USC00335747,724280-14821,40.40395348845652,8.5,40.0875,-82.4128,254.5,OH,NEWARK WATER WORKS,-5,19561101-20240402, 83.2%,65.0,65.0,100.0,65.0,100.0,65.0,Dfa
USC00231711,724467-13930,39.95630087714778,30.30000000000001,38.395,-93.7711,234.7,MO,CLINTON,-6,19480801-20240401, 73.3%,65.0,65.0,87.2,65.0,89.1,65.0,Dfa
USC00042294,724836-23208,35.52163392588708,4.699999999999999,38.5349,-121.7761,18.3,CA,DAVIS 2 WSW EXP FARM,-8,19480701-20240405, 91.0%,65.0,65.0,82.1,66.0,84.7,64.0,Csa
