StnID,dpt_wmo_id,distance_km,elevation_diff_m,Lat,Lon,Elev,State/Province,Name,UTC_Offset,POR_Date_Range_P,PCT_POR_Good_P,Num_Years_P,PCT_Good_Overlap_1h,Num_Year_Overlap,PCT_Good_Overlap_24h,KG
USC00042012,747020-23110,41.95375992183396,9.0,36.0975,-119.5817,61.0,CA,CORCORAN IRRIGATION DIST.,-8,19560119-20240325,86.7,68,71.0,23,78.1,7
USC00308586,725180-14735,46.682059468473845,6.400000000000006,42.9464,-74.2886,91.4,NY,TRIBES HILL,-5,19480501-20240326,79.5,76,79.8,23,83.2,26
USC00417140,722550-12912,42.908328977318526,26.9,28.6575,-96.5553,6.1,TX,POINT COMFORT,-6,19571101-20240409,93.5,67,73.5,23,79.2,14
USC00449151,745980-13702,39.188055892989766,18.3,37.3017,-76.7039,21.3,VA,WILLIAMSBURG 2 N,-5,19480801-20151001,87.5,67,90.0,23,88.7,14
USW00013957,722485-13944,16.49787771930049,19.5,32.4473,-93.8244,69.5,LA,SHREVEPORT AP,-6,19471001-20131231,88.3,66,81.8,23,78.5,14
USC00095165,723110-13873,20.5646680738324,17.69999999999999,33.8705,-83.1135,221.3,GA,LEXINGTON,-5,19520115-20180601,84.3,66,72.0,23,78.5,14
USC00341750,723530-13967,46.68351301161749,58.30000000000001,35.0488,-97.9158,330.7,OK,CHICKASHA EXP STATION,-6,19580328-20240401,91.7,66,85.3,23,89.1,14
USC00086880,722110-12842,43.376694199044344,17.3,27.609,-82.3476,18.3,FL,PARRISH,-5,19440818-20210709,89.9,77,87.1,23,88.8,14
USC00458207,727810-24243,47.71468592195935,93.30000000000001,46.3236,-120.0103,227.7,WA,SUNNYSIDE,-8,19480701-20230803,84.1,75,80.0,23,85.2,5
USC00323621,727575-94925,22.931891133053767,25.0,47.9217,-97.0975,253.0,ND,GRAND FORKS UNIV (NWS),-6,19601116-20240401,78.4,64,82.8,23,81.9,26
USC00331541,725210-14895,44.52570994386426,8.300000000000011,41.0517,-81.9361,359.7,OH,CHIPPEWA LAKE,-5,19510601-20150501,89.9,64,82.9,23,80.9,25
