StnID,Lat,Lon,Elev,State/Province,Name,UTC_Offset,POR_Date_Range_P,PCT_POR_Good_P,Num_Years_P,POR_Date_Range_T,Num_Years_T,PCT_POR_Good_T,overlap_years,PCT_Good_Overlap_1h,PCT_Good_Overlap_24h,Clim_Reg,KG
USC00094941,34.853,-85.3142,243.5,GA,CHICKAMAUGA 2 SW,-5,19480601-20240410,80.4,76,18920410-20240430,133.0,64.5,77,92.7,93.3,SE,14
USC00030220,34.1433,-93.0589,59.7,AR,ARKADELPHIA 2 N,-6,19480501-20231104,91.7,75,18910318-20240503,134.0,69.8,76,92.2,94.0,S,14
USC00030458,35.8306,-91.7944,174.0,AR,BATESVILLE LVSTK,-6,19490801-20240305,94.2,75,19410701-20240503,84.0,96.2,76,97.7,97.9,S,14
USC00422578,39.3583,-111.5985,1675.8,UT,EPHRAIM,-7,19490901-20240401,98.4,75,19490901-20240430,76.0,97.2,76,97.2,96.9,SW,7
USC00327530,46.8886,-102.3191,752.9,ND,RICHARDTON ABBEY,-7,19491201-20240404,95.8,75,19160223-20240430,109.0,95.6,76,94.9,89.2,NRP,22
USC00134142,42.5188,-93.2536,321.6,IA,IOWA FALLS,-6,19480801-20230407,92.9,75,18930101-20240504,132.0,96.2,76,97.3,97.4,UM,25
USW00093809,37.0401,-89.1842,98.1,IL,CAIRO 3N,-6,19480701-20240312,90.2,76,19080101-20231121,116.0,88.8,76,83.6,75.6,OV,14
USC00235671,39.4667,-92.4167,262.1,MO,MOBERLY AIRPORT,-6,19481201-20230503,76.6,75,19360723-20240503,89.0,90.3,76,92.6,92.3,OV,25
USC00413691,32.9506,-97.0553,178.3,TX,GRAPEVINE DAM,-6,19490623-20240131,90.2,75,18970101-20240503,128.0,62.2,76,86.3,82.3,S,14
USC00245030,44.6331,-112.5928,1913.8,MT,LIMA,-7,19480801-20240319,90.2,76,18981201-20231130,126.0,77.5,76,89.5,88.1,NRP,7
USC00142432,37.0833,-101.85,1096.1,KS,ELKHART 6 NNE,-6,19490101-20240405,64.5,75,19000101-20240503,125.0,90.7,76,98.3,97.9,S,7
USC00134502,41.3247,-93.1008,272.8,IA,KNOXVILLE,-6,19480801-20230320,83.9,75,18930601-20230831,131.0,92.9,76,94.8,94.8,UM,25
USC00134585,40.6233,-93.9343,343.8,IA,LAMONI,-6,19480801-20230901,68.1,75,18970813-20240503,128.0,79.5,76,95.1,95.4,UM,25
USC00415094,33.0352,-96.4861,155.4,TX,LAVON DAM,-6,19490701-20240327,81.6,75,19490701-20240331,76.0,79.4,76,80.0,65.9,S,14
USW00024137,48.6036,-112.3766,1171.8,MT,CUT BANK AIRPORT,-7,19480701-20231206,91.6,75,19031201-20240505,122.0,94.8,76,99.8,100.0,NRP,7
USC00355734,45.4825,-120.7236,570.0,OR,MORO,-8,19480801-20240227,90.8,76,18971101-20231031,127.0,83.7,76,96.9,95.2,NW,18
USC00216795,47.8833,-94.9167,-999.9,MN,REDBY,-6,19480801-20230605,71.4,75,18931101-20240229,132.0,68.4,76,91.7,93.4,UM,26
USW00014806,40.3131,-88.1596,230.1,IL,RANTOUL,-6,19480701-20240410,89.7,76,18930101-20231231,131.0,66.2,76,93.8,96.4,OV,25
USC00145888,39.113,-100.9447,945.5,KS,OAKLEY 4W,-6,19490801-20240401,90.6,75,18920101-20240502,133.0,75.2,76,97.0,96.7,S,7
USC00367229,40.9248,-79.2825,390.1,PA,PUTNEYVILLE 2 SE DAM,-5,19480501-20231128,76.7,75,19430721-20240504,82.0,95.1,76,95.4,95.6,NE,26
USC00381770,34.6604,-82.8233,243.8,SC,CLEMSON UNIVERSITY,-5,19490601-20240331,63.5,75,18960501-20240429,129.0,97.7,76,93.8,96.6,SE,14
USC00155067,37.3475,-87.5238,129.5,KY,MADISONVILLE,-6,19490301-20240201,86.9,75,19460601-20240502,79.0,93.5,76,96.0,96.3,OV,14
USC00338552,40.0991,-83.7823,310.6,OH,URBANA WRF,-5,19491101-20240401,77.3,75,18951108-20240501,130.0,96.9,76,98.0,98.5,OV,25
USC00292510,35.1841,-105.0569,1569.7,NM,DILIA,-7,19471001-20230419,88.1,76,19411101-20220930,82.0,90.7,76,93.7,92.4,SW,7
USC00368905,41.7511,-76.443,231.6,PA,TOWANDA 1 S,-5,19480501-20230302,87.8,75,18941001-20230321,130.0,98.1,76,97.3,97.1,NE,26
USC00291963,34.5988,-103.2161,1351.8,NM,CLOVIS 13 N,-7,19490701-20240403,95.4,75,19490621-20240503,76.0,96.4,76,96.2,97.1,SW,7
USC00368873,41.4792,-79.4432,365.8,PA,TIONESTA 2 SE LAKE,-5,19480501-20231106,75.8,75,19210301-20240504,104.0,73.9,76,93.9,93.9,NE,26
USC00481165,44.347,-106.6932,1428.0,WY,BUFFALO,-7,19480801-20230902,90.5,75,18990401-20240315,126.0,71.7,76,80.8,77.5,NRP,7
USC00040161,41.4902,-120.5438,1332.9,CA,ALTURAS,-8,19480701-20240122,91.3,76,19050401-20230321,119.0,79.1,76,83.4,79.2,W,7
USC00482715,43.5398,-109.6552,2119.9,WY,DUBOIS,-7,19490801-20240402,76.0,75,19050501-20240504,120.0,80.4,76,87.4,90.0,NRP,7
USC00026468,34.7994,-109.885,1659.9,AZ,PETRIFIED FOREST NP,-7,19480701-20231016,88.0,75,19310101-20240331,94.0,95.8,76,93.2,93.6,SW,5
USW00093044,35.1,-108.7833,1962.9,NM,ZUNI CAA,-7,19490301-20240401,66.9,75,19490217-20240504,76.0,91.4,76,92.1,90.4,SW,7
USC00410691,32.6475,-97.4439,240.8,TX,BENBROOK DAM,-6,19490622-20240131,90.8,75,19490625-20240426,76.0,86.5,76,86.4,87.4,S,14
USC00485345,44.5621,-110.3986,2405.5,WY,LAKE YELLOWSTONE,-7,19480801-20230906,80.1,75,19040101-20240419,121.0,87.2,76,91.7,95.0,NRP,27
USC00221962,34.9159,-88.6011,121.6,MS,CORINTH 5 WSW,-6,19490605-20240401,58.2,75,18950801-20240331,130.0,74.9,76,94.2,94.5,S,14
USC00122825,40.2538,-85.1484,294.1,IN,FARMLAND 5 NNW,-5,19490301-20240402,90.9,75,18930101-20240503,132.0,82.7,76,81.3,79.0,OV,25
USC00422385,40.9655,-111.4336,1667.3,UT,ECHO DAM,-7,19491102-20240403,98.4,75,19400201-20240407,85.0,95.6,76,99.0,99.0,SW,7
USC00367931,40.8153,-76.8556,133.2,PA,SELINSGROVE CAA AIRPORT,-5,19490701-20230102,59.6,74,18930101-20240504,132.0,83.1,75,99.4,99.7,NE,25
USC00233601,39.7232,-91.3747,217.0,MO,HANNIBAL WATER WORKS,-6,19500401-20240402,89.6,74,19330801-20240504,92.0,97.1,75,96.7,97.4,OV,25
USC00141699,39.3925,-101.0689,966.2,KS,COLBY 1SW,-6,19500101-20240401,88.5,74,19500102-20240503,75.0,88.3,75,89.1,89.7,S,7
USC00331404,40.3,-82.7,368.8,OH,CENTERBURG 2,-5,19501101-20240403,85.8,74,19501101-20240504,75.0,92.6,75,96.5,96.5,OV,25
USW00014995,45.7728,-92.6886,301.8,WI,GRANTSBURG,-6,19500701-20240416,7.6,74,19500701-20240430,75.0,95.3,75,98.8,99.5,UM,26
USC00030764,34.5697,-93.1947,129.8,AR,BLAKELY MOUNTAIN DAM,-6,19500501-20240304,88.0,74,19500501-20240504,75.0,86.1,75,87.7,87.1,S,14
USC00417706,30.024,-100.212,726.0,TX,ROCKSPRINGS,-6,19400401-20140402,78.2,74,18940302-20240503,131.0,54.2,75,82.1,82.8,S,6
USC00291469,32.3479,-104.2224,951.0,NM,CARLSBAD,-7,19471001-20221104,91.7,75,19000201-20210128,122.0,92.8,75,89.1,88.8,SW,7
USC00305597,42.7313,-77.9054,268.2,NY,MOUNT MORRIS 2W,-5,19500609-20240305,90.8,74,18930102-20240503,132.0,57.3,75,91.5,91.4,NE,26
USC00350694,44.0569,-121.285,1115.6,OR,BEND,-8,19481001-20220625,91.8,74,19010401-20240502,124.0,94.1,75,98.1,97.2,NW,7
USC00250760,40.0646,-101.5437,939.1,NE,BENKELMAN 1N,-7,19480801-20221222,89.3,74,18941101-20230922,130.0,71.9,75,96.9,96.2,NRP,7
USC00352374,43.7822,-122.963,249.9,OR,DORENA,-8,19500201-20240403,90.7,74,19480701-20240430,77.0,94.5,75,95.6,97.5,NW,9
USC00422696,40.2623,-112.0897,1487.4,UT,FAIRFIELD,-7,19500926-20240420,93.6,74,19110101-20240419,114.0,54.6,75,84.8,80.2,SW,7
USC00247500,48.5133,-111.8551,1013.5,MT,SHELBY,-7,19480701-20240402,47.0,76,19500401-20240331,75.0,46.6,75,88.4,90.6,NRP,7
USC00245015,48.4036,-115.5392,638.9,MT,LIBBY 1 NE RS,-7,19480801-20240418,88.4,76,18950601-20220508,128.0,80.2,75,81.2,76.7,NRP,26
USC00241875,47.0564,-106.6164,829.1,MT,COHAGEN,-7,19480701-20240401,70.8,76,19500401-20240331,75.0,75.1,75,91.5,90.0,NRP,7
USC00241088,48.5155,-105.2991,705.0,MT,BREDETTE,-7,19400101-20240302,95.0,84,19500401-20240331,75.0,96.7,75,85.7,88.5,NRP,7
USC00252205,41.2482,-97.058,509.6,NE,DAVID CITY 4E,-6,19480801-20221205,89.4,74,18890101-20231011,135.0,88.5,75,98.8,98.6,NRP,25
USC00395891,43.8878,-100.7075,705.9,SD,MURDO,-6,19501101-20240403,88.7,74,19071201-20240504,118.0,93.9,75,97.9,98.1,NRP,25
USC00058064,39.2495,-106.3713,2968.1,CO,SUGARLOAF RESERVOIR,-7,19501026-20240401,89.1,74,19000522-20240418,125.0,60.8,75,95.5,96.3,SW,27
USC00101079,48.6928,-116.3104,609.9,ID,BONNERS FERRY,-8,19480701-20220217,82.7,74,19070501-20240504,118.0,77.8,75,95.7,96.4,NW,18
USC00086240,30.5316,-86.4928,22.6,FL,NICEVILLE,-6,19500701-20240408,89.3,74,19270201-20240503,98.0,79.1,75,90.1,92.3,SE,14
USC00452157,48.7141,-121.143,271.6,WA,DIABLO DAM,-8,19480701-20220903,83.9,74,19141224-20240504,111.0,92.9,75,97.8,98.2,NW,18
USC00041864,36.1356,-120.3606,204.2,CA,COALINGA,-8,19480701-20210801,49.8,73,19420102-20231031,82.0,88.8,74,85.2,91.0,W,7
USC00130364,41.4175,-95.0041,351.1,IA,ATLANTIC 1 NE,-6,19510108-20240401,88.4,73,18930101-20240331,132.0,97.4,74,96.7,97.6,UM,25
USC00205816,46.3287,-85.5033,270.1,MI,NEWBERRY CORRECTIONAL FACILITY,-5,19510601-20240401,83.2,73,18960901-20240503,129.0,86.4,74,90.7,90.2,UM,26
USC00350471,43.1502,-124.4003,8.2,OR,BANDON 2 NNE,-8,19481001-20210527,89.1,73,18970606-20240430,128.0,62.6,74,97.1,96.3,NW,9
USC00220021,33.8301,-88.5206,57.3,MS,ABERDEEN,-6,19510829-20240407,84.2,73,18920701-20240504,133.0,92.8,74,93.6,92.5,S,14
USC00112140,40.1391,-87.6479,169.2,IL,DANVILLE,-6,19510502-20240306,95.8,73,18950423-20240504,130.0,91.6,74,96.8,96.3,OV,25
USC00050834,39.6567,-102.1193,1132.9,CO,BONNY DAM 2NE,-7,19510601-20240408,60.4,73,19490601-20240504,76.0,87.8,74,81.7,78.0,SW,7
USC00251145,41.6681,-103.1038,1118.3,NE,BRIDGEPORT,-7,19480801-20210712,91.3,73,18970501-20220705,126.0,97.7,74,98.2,98.2,NRP,7
USC00482725,43.4117,-104.9614,1345.7,WY,DULL CENTER 1SE,-7,19480801-20210629,88.3,73,19260520-20220331,97.0,91.4,74,94.0,94.1,NRP,7
USC00101018,43.5253,-116.0542,865.6,ID,BOISE LUCKY PEAK DAM,-7,19510101-20240405,87.7,73,19510112-20240430,74.0,82.1,74,82.1,85.9,NW,7
USC00444414,36.6002,-78.3011,76.2,VA,JOHN H KERR DAM,-5,19511201-20240304,85.0,73,19480301-20240504,77.0,95.1,74,96.0,95.9,SE,14
USW00014743,44.5772,-75.1097,136.6,NY,CANTON 4 SE,-5,19480501-20210318,88.5,73,18930101-20240308,132.0,79.3,74,95.1,93.5,NE,26
USC00339312,40.7813,-81.9199,310.9,OH,WOOSTER EXP STATION,-5,19480801-20240403,93.6,76,18930601-20211031,129.0,92.6,74,94.7,89.3,OV,25
USC00221707,34.1864,-90.5573,52.7,MS,CLARKSDALE,-6,19510616-20240405,81.9,73,18920901-20240502,133.0,86.0,74,94.5,92.7,S,14
USC00386831,34.8813,-82.7188,327.7,SC,PICKENS,-5,19510801-20240409,86.8,73,19510801-20240430,74.0,96.3,74,98.5,98.9,SE,14
USC00143984,37.9233,-95.4241,290.8,KS,IOLA 1 W,-6,19510101-20240415,78.9,73,19040901-20240503,121.0,53.8,74,97.9,97.7,S,25
USC00188065,39.5099,-79.1401,455.7,MD,SAVAGE RIVER DAM,-5,19490601-20220906,72.1,73,19450226-20240504,80.0,89.1,74,93.7,93.1,NE,25
USC00114710,41.2429,-89.8997,237.7,IL,KEWANEE 1 E,-6,19510501-20240401,57.8,73,19390801-20240504,86.0,93.0,74,97.4,98.4,OV,25
USC00298501,36.3627,-104.5849,1794.7,NM,SPRINGER,-7,19471101-20200401,88.6,73,18920101-20200114,129.0,83.9,74,86.0,78.2,SW,7
USC00319675,36.1306,-80.5481,266.7,NC,YADKINVILLE 6 E,-5,19480601-20210503,94.3,73,19400205-20240504,85.0,78.5,74,85.7,85.3,SE,14
USC00396427,44.0622,-103.4819,1438.7,SD,PACTOLA DAM,-7,19510801-20240401,87.5,73,19510801-20240504,74.0,89.2,74,90.4,91.3,NRP,22
USC00446955,37.0558,-80.7842,634.0,VA,PULASKI 2 E,-5,19521212-20240401,88.6,72,19200501-20240504,105.0,63.8,73,85.9,86.7,SE,25
USC00419588,26.178,-97.9708,22.9,TX,WESLACO,-6,19471001-20190501,80.6,72,19140201-20240504,111.0,85.5,73,84.5,75.2,S,6
USC00381726,33.6634,-82.1897,121.9,SC,CLARKS HILL 1 W,-5,19520108-20240305,89.5,72,19520809-20240504,73.0,91.5,73,89.5,89.4,SE,14
USC00398980,45.4247,-97.327,556.9,SD,WAUBAY NATL WILD LIFE,-6,19520508-20240402,94.9,72,19520502-20240430,73.0,95.5,73,95.2,97.0,NRP,25
USC00306314,43.4499,-76.5369,98.8,NY,OSWEGO,-5,19480501-20200518,90.1,72,19260101-20240504,99.0,98.5,73,97.7,97.1,NE,26
USC00109065,43.8563,-111.2769,1880.6,ID,TETONIA EXPERIMENT STN,-7,19520517-20240401,81.4,72,19500401-20240504,75.0,87.0,73,88.4,91.1,NW,26
USC00325993,48.1802,-101.2963,539.2,ND,MINOT EXP STATION,-6,19520901-20240301,92.1,72,19050610-20240502,120.0,97.2,73,97.9,98.0,NRP,26
USC00103732,42.5631,-111.7594,1684.9,ID,GRACE,-7,19521123-20240403,88.0,72,19070119-20240503,118.0,94.8,73,94.3,96.5,NW,7
USC00250865,41.0654,-102.071,1029.9,NE,BIG SPRINGS,-7,19480801-20200507,85.0,72,19160501-20200804,105.0,70.2,73,91.0,91.4,NRP,7
USC00112687,39.1181,-88.6244,190.5,IL,EFFINGHAM 3SW,-6,19480701-20200625,86.3,72,18930101-20200612,128.0,87.6,73,97.1,97.1,OV,25
USC00334942,40.6142,-83.13,294.1,OH,MARION 2 N,-5,19480801-20200514,83.5,72,19360101-20200101,85.0,90.4,73,87.8,84.4,OV,25
USC00366233,41.0172,-80.3615,251.5,PA,NEW CASTLE 1 N,-5,19480501-20200203,76.6,72,18920501-20200131,129.0,85.9,73,95.9,94.1,NE,25
USC00202094,45.9983,-83.9013,181.4,MI,DETOUR VILLAGE,-5,19520819-20240402,90.3,72,19000801-20240503,125.0,55.5,73,83.5,87.0,UM,26
USC00419715,31.8611,-97.375,175.0,TX,WHITNEY DAM,-6,19520617-20240312,94.1,72,19491008-20240504,76.0,89.9,73,86.3,80.5,S,14
USC00251575,42.8083,-103.0533,1021.4,NE,CHADRON 3SW,-7,19480801-20200201,82.3,72,18940801-20240428,131.0,78.7,73,98.3,99.1,NRP,7
USC00172878,47.2386,-68.612,185.9,ME,FORT KENT,-5,19531016-20240403,86.2,71,18930101-20240504,132.0,63.2,72,94.9,96.2,NE,26
USC00245387,46.5,-110.3378,1463.0,MT,MARTINSDALE 3 NNW,-7,19410101-20120503,91.3,71,18930101-20120430,120.0,62.9,72,91.9,94.1,NRP,7
USC00297279,36.9194,-104.4325,2112.9,NM,RATON FILTER PLANT,-7,19530902-20240422,75.1,71,19530901-20240331,72.0,95.4,72,94.5,92.9,SW,7
USC00035754,34.2255,-92.0185,70.1,AR,PINE BLUFF,-6,19530101-20240304,88.7,71,18840514-20240503,141.0,93.0,72,94.0,94.7,S,14
USC00125337,40.58,-85.6586,240.8,IN,MARION 2 N,-5,19530613-20240401,92.5,71,18930101-20240504,132.0,98.2,72,98.2,97.7,OV,25
USC00335297,40.5375,-81.9197,249.6,OH,MILLERSBURG,-5,19530301-20240409,69.3,71,19161123-20240331,109.0,86.9,72,96.0,96.5,OV,25
USC00129430,40.475,-86.9919,215.8,IN,WEST LAFAYETTE 6 NW,-5,19530808-20240404,93.5,71,19010101-20240501,124.0,94.1,72,99.4,99.4,OV,25
USC00452505,47.0,-120.5167,497.1,WA,ELLENSBURG,-8,19530901-20240409,88.5,71,18930201-20240502,132.0,87.4,72,95.5,94.6,NW,5
USC00243984,47.3833,-115.4,961.0,MT,HAUGAN,-7,19521022-20230928,74.5,71,19120201-20230531,112.0,82.9,72,86.5,87.0,NRP,18
